table_catalog,table_schema,table_name,column_name,data_type,column_description
friday-vibe,public_data_lib,ipl_ball_by_ball,non_striker,STRING,"The name of the player at the non-striker's end. (Sample distinct values: A Ashish Reddy, A Badoni, A Chandila, A Chopra, A Choudhary, A Dananjaya, A Flintoff, A Kamboj, A Kumble, A Manohar; distinct count ≈ 692)"
friday-vibe,public_data_lib,ipl_ball_by_ball,non_striker_id,STRING,"Unique identifier for the player at the non-striker's end. (Sample distinct values: 00ea847a, 0184dc35, 025c4400, 0264c10e, 030f3089, 034b4b7d, 03806cf8, 03a83c50, 0404d43c, 0494fa6e; distinct count ≈ 691)"
friday-vibe,public_data_lib,ipl_ball_by_ball,runs_batter,INT64,The number of runs scored by the batter off the ball. (Value range: 0.0 → 6.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,runs_extras,INT64,"The number of extra runs (wides, no-balls, byes, leg-byes, penalty) scored off the ball. (Value range: 0.0 → 7.0)"
friday-vibe,public_data_lib,ipl_ball_by_ball,runs_total,INT64,The total number of runs scored off the ball (batter runs + extras). (Value range: 0.0 → 7.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,extras_wides,INT64,The number of wide runs scored on this ball. (Value range: 1.0 → 5.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,extras_noballs,INT64,The number of no-ball runs scored on this ball. (Value range: 1.0 → 5.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,extras_byes,INT64,The number of bye runs scored on this ball. (Value range: 1.0 → 4.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,extras_legbyes,INT64,The number of leg-bye runs scored on this ball. (Value range: 1.0 → 5.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,extras_penalty,INT64,The number of penalty runs awarded on this ball. (Value range: 5.0 → 5.0)
friday-vibe,public_data_lib,ipl_ball_by_ball,is_wicket,BOOL,"A boolean indicating if a wicket fell on this ball. (True: 13823, False: 264382, total: 278205)"
friday-vibe,public_data_lib,ipl_ball_by_ball,wicket_kind,STRING,"The type of wicket that occurred (e.g., 'bowled', 'caught', 'lbw'). (Sample distinct values: bowled, caught, caught and bowled, hit wicket, lbw, obstructing the field, retired hurt, retired out, run out, stumped; distinct count ≈ 10)"
friday-vibe,public_data_lib,ipl_ball_by_ball,wicket_player_out,STRING,"The name of the player who was dismissed. (Sample distinct values: A Ashish Reddy, A Badoni, A Chopra, A Choudhary, A Flintoff, A Kamboj, A Kumble, A Manohar, A Mhatre, A Mishra; distinct count ≈ 655)"
friday-vibe,public_data_lib,ipl_ball_by_ball,wicket_player_out_id,STRING,"Unique identifier for the player who was dismissed. (Sample distinct values: 00ea847a, 0184dc35, 025c4400, 0264c10e, 034b4b7d, 0404d43c, 0494fa6e, 04a418e8, 05c2ca46, 0604ef16; distinct count ≈ 654)"
friday-vibe,public_data_lib,ipl_ball_by_ball,wicket_fielders,STRING,"Names of fielders involved in the wicket (e.g., catchers, run-out fielders). (Sample distinct values: A Ashish Reddy, A Ashish Reddy, J Theron, A Badoni, A Badoni, JO Holder, A Chandila, A Chopra, A Chopra, BB McCullum, A Flintoff, A Kamboj, A Kumble; distinct count ≈ 1101)"
friday-vibe,public_data_lib,ipl_ball_by_ball,wicket_fielder_ids,STRING,"Unique identifiers for fielders involved in the wicket. (Sample distinct values: 00ea847a, 00ea847a, 244048f6, 0184dc35, 0184dc35, 063b3673, 0184dc35, 541f85c9, 0184dc35, f3cb53a1, 0264c10e, 034b4b7d, 03806cf8, 03a83c50; distinct count ≈ 1101)"
friday-vibe,public_data_lib,ipl_ball_by_ball,has_review,BOOL,"A boolean indicating if a Decision Review System (DRS) review was taken for this ball. (True: 872, False: 277333, total: 278205)"
friday-vibe,public_data_lib,ipl_ball_by_ball,review_by,STRING,"The team that initiated the DRS review. (Sample distinct values: Chennai Super Kings, Delhi Capitals, Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Punjab Kings, Rajasthan Royals; distinct count ≈ 13)"
friday-vibe,public_data_lib,ipl_ball_by_ball,review_umpire,STRING,"The name of the umpire whose decision was reviewed. (Sample distinct values: A Bengeri, A Deshmukh, A Nand Kishore, A Totre, AG Wharf, AK Chaudhary, AT Holdstock, AY Dandekar, Abhijit Bhattacharya, Anish Sahasrabudhe; distinct count ≈ 47)"
friday-vibe,public_data_lib,ipl_ball_by_ball,review_batter,STRING,"The name of the batter involved in the DRS review. (Sample distinct values: A Badoni, A Mishra, AA Kulkarni, AB de Villiers, AD Nath, AD Russell, AJ Finch, AJ Tye, AK Markram, AM Rahane; distinct count ≈ 202)"
friday-vibe,public_data_lib,ipl_ball_by_ball,review_decision,STRING,"The outcome of the DRS review ('struck down' or 'upheld'). (Sample distinct values: struck down, upheld; distinct count ≈ 2)"
friday-vibe,public_data_lib,ipl_ball_by_ball,review_type,STRING,"The type of decision being reviewed (e.g., 'wicket'). (Sample distinct values: wicket; distinct count ≈ 1)"
friday-vibe,public_data_lib,ipl_ball_by_ball,review_umpires_call,BOOL,"A boolean indicating if the umpire's original decision stood after the review. (True: 129, False: 278076, total: 278205)"
friday-vibe,public_data_lib,ipl_ball_by_ball,has_replacement,BOOL,"A boolean indicating if a player replacement occurred for this ball (e.g., impact player, concussion sub). (True: 443, False: 277762, total: 278205)"
friday-vibe,public_data_lib,ipl_ball_by_ball,replacement_in,STRING,"The name of the player who came in as a replacement. (Sample distinct values: A Ashish Reddy, A Badoni, A Kamboj, A Manohar, A Mishra, A Raghuvanshi, A Zampa, AB de Villiers, AD Mascarenhas, AK Markram; distinct count ≈ 178)"
friday-vibe,public_data_lib,ipl_ball_by_ball,replacement_out,STRING,"The name of the player who was replaced. (Sample distinct values: , A Badoni, A Mhatre, A Mishra, A Nortje, A Raghuvanshi, AC Gilchrist, AD Russell, AM Rahane, AT Rayudu; distinct count ≈ 148)"
friday-vibe,public_data_lib,ipl_ball_by_ball,replacement_role,STRING,"The playing role of the replaced player ('batter' or 'bowler'). (Sample distinct values: , batter, bowler; distinct count ≈ 3)"
friday-vibe,public_data_lib,ipl_ball_by_ball,replacement_reason,STRING,"The reason for the player replacement (e.g., 'impact_player', 'injury'). (Sample distinct values: concussion_substitute, excluded - high full pitched balls, impact_player, injury; distinct count ≈ 4)"
